Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
1693859125,29.2,98.83,248.0,60.0,28.0,30.0,96.0,-0.01,0.03,0.98
1693859128,29.2,98.85,249.0,61.0,27.0,30.0,96.0,-0.01,0.04,0.99
1693859131,29.21,98.84,250.0,60.0,28.0,30.0,96.0,-0.01,0.03,0.99
1693859134,29.23,98.85,250.0,61.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859137,29.24,98.85,249.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859140,29.26,98.84,250.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859143,29.26,98.85,250.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859146,29.29,98.84,250.0,61.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859149,29.29,98.84,251.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859152,29.29,98.83,252.0,61.0,28.0,30.0,97.0,-0.01,0.04,0.99
1693859155,29.31,98.84,250.0,59.0,27.0,29.0,93.0,-0.01,0.04,0.99
1693859159,29.31,98.85,250.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859162,29.33,98.85,248.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859165,29.35,98.85,252.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859168,29.33,98.85,248.0,59.0,27.0,30.0,94.0,-0.01,0.04,0.99
1693859171,29.33,98.84,249.0,61.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859174,29.36,98.84,249.0,60.0,28.0,30.0,97.0,-0.01,0.04,0.99
1693859177,29.38,98.84,253.0,61.0,28.0,30.0,97.0,-0.01,0.04,0.99
1693859180,29.39,98.84,253.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.98
1693859183,29.39,98.84,248.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859186,29.39,98.84,248.0,60.0,28.0,30.0,97.0,-0.01,0.03,0.98
1693859189,29.38,98.85,248.0,60.0,28.0,30.0,96.0,-0.01,0.03,0.99
1693859192,29.41,98.85,248.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859195,29.41,98.84,247.0,60.0,28.0,30.0,96.0,-0.01,0.04,0.99
1693859198,29.41,98.84,250.0,61.0,27.0,30.0,96.0,-0.01,0.04,0.99
1693859201,29.42,98.85,0.0,0.0,0.0,0.0,0.0,0.03,0.02,1.0
1693859204,29.73,98.85,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.99
1693859207,29.71,98.85,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.99
1693859210,29.79,98.84,253.0,62.0,28.0,30.0,97.0,-0.05,0.06,0.99
1693859214,29.79,98.83,251.0,60.0,28.0,30.0,94.0,-0.07,0.08,0.97
1693859217,29.74,98.86,250.0,60.0,28.0,30.0,96.0,-0.06,0.07,0.98
1693859220,29.75,98.85,0.0,6.0,2.0,3.0,9.0,-0.06,0.07,0.98
1693859223,29.74,98.84,0.0,6.0,2.0,3.0,9.0,-0.06,0.07,0.98
1693859226,29.76,98.85,171.0,14.0,5.0,6.0,22.0,-0.07,0.06,0.98
1693859229,29.75,98.85,249.0,58.0,27.0,30.0,93.0,-0.06,0.07,0.98
1693859232,29.76,98.85,0.0,16.0,7.0,8.0,29.0,-0.06,-0.06,-1.07
1693859235,29.74,98.85,0.0,14.0,6.0,7.0,26.0,-0.05,-0.08,-1.01
1693859238,29.77,98.85,0.0,13.0,6.0,6.0,24.0,-0.05,-0.09,-1.06
1693859241,29.77,98.83,70.0,13.0,5.0,6.0,22.0,-0.1,-0.07,-1.0
1693859244,29.77,98.84,49.0,11.0,4.0,5.0,19.0,-0.14,-0.16,-0.98
1693859247,29.76,98.85,75.0,11.0,4.0,5.0,19.0,-0.11,-0.13,-0.92
1693859250,29.78,98.85,0.0,0.0,0.0,0.0,0.0,-0.01,-0.09,-0.98
1693859253,29.76,98.85,147.0,16.0,7.0,8.0,29.0,0.04,-0.17,-1.06
1693859256,29.75,98.85,234.0,17.0,7.0,8.0,29.0,0.23,-0.2,-0.99
1693859259,29.67,98.85,248.0,91.0,41.0,47.0,146.0,0.36,0.15,0.72
1693859262,29.73,98.85,249.0,69.0,31.0,33.0,115.0,0.0,0.19,0.97
1693859265,29.7,98.85,250.0,65.0,30.0,32.0,111.0,-0.02,0.12,0.98
1693859269,29.71,98.85,246.0,59.0,30.0,32.0,126.0,0.12,0.1,0.97
Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
1693927969,31.5,98.81,251.0,252.0,144.0,148.0,400.0,0.17,0.02,0.97
Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
1693927984,31.58,98.81,250.0,250.0,144.0,147.0,399.0,0.17,0.02,0.97
Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
